Timestamp,IMU_Packages_per_sec,Odom_Packages_per_sec,Send_Packages_per_sec,Yaw_Angle,Left_Velocity_mps,Right_Velocity_mps,x,y,quaternion_yaw,Left_Velocity_LOS,Right_Velocity_LOS,theta_yaw
2026-04-10 19:12:17.238,0,199,199,0.00,0.0001,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.0000
2026-04-10 19:12:27.238,0,200,200,0.00,0.0000,-0.0005,0.0000,0.0000,0.0000,-0.0000,0.0000,1.0388
2026-04-10 19:12:37.240,0,200,200,0.00,0.0001,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,1.0388
2026-04-10 19:12:47.238,0,200,200,0.00,0.0000,0.0001,-0.0000,0.0000,0.0000,-0.0000,0.0000,1.0388
2026-04-10 19:12:57.239,0,199,200,0.00,-0.0001,-0.0001,-0.0000,0.0000,0.0000,-0.0000,0.0000,1.0388
2026-04-10 19:13:07.241,0,199,200,0.00,-0.3384,0.2674,0.7019,-0.9450,0.0000,-0.3355,0.2645,-88.6783
2026-04-10 19:13:17.242,0,200,200,0.00,-0.2985,0.3077,0.7640,-4.3726,0.0000,-0.2978,0.3022,-79.5309
2026-04-10 19:13:27.240,0,199,200,0.00,-0.3003,0.2977,1.3239,-7.3176,0.0000,-0.3013,0.2987,-79.9714
2026-04-10 19:13:37.238,0,200,200,0.00,0.0000,0.0000,1.3447,-7.4328,0.0000,-0.0000,0.0000,-79.1486
2026-04-10 19:13:47.240,0,200,200,0.00,-0.0001,0.0000,1.3447,-7.4328,0.0000,-0.0000,0.0000,-79.1486
2026-04-10 19:13:57.238,0,200,200,0.00,-0.0001,0.0000,1.3447,-7.4328,0.0000,-0.0000,0.0000,-79.1486
2026-04-10 19:14:07.239,0,200,200,0.00,-0.1431,0.1165,1.3497,-7.4589,0.0000,-0.2083,0.3917,-79.1486
2026-04-10 19:14:17.238,0,200,200,0.00,-0.5400,0.5036,1.5590,-6.0644,0.0000,-0.5394,0.4887,127.8520
2026-04-10 19:14:27.239,0,199,200,0.00,-0.2983,0.3071,0.7760,-2.5669,0.0000,-0.2986,0.3014,97.9132
2026-04-10 19:14:37.239,0,200,200,0.00,-0.4207,0.1753,0.5731,0.3975,0.0000,-0.4160,0.1840,70.1871
2026-04-10 19:14:47.238,0,199,200,0.00,-0.2830,0.3084,3.5289,0.6245,0.0000,-0.2877,0.3123,-0.4354
2026-04-10 19:14:57.238,0,200,200,0.00,-0.3045,0.3419,5.2002,2.2073,0.0000,-0.3121,0.3340,106.6545
2026-04-10 19:15:07.239,0,198,200,0.00,-0.5553,0.5414,4.7224,5.8671,0.0000,-0.5376,0.5147,93.1569
2026-04-10 19:15:17.238,0,200,200,0.00,-0.3881,0.3702,4.8484,9.3161,0.0000,-0.5963,0.6037,90.7668
2026-04-10 19:15:27.238,0,199,200,0.00,-0.2982,0.3034,4.9079,13.2524,0.0000,-0.2999,0.3001,91.0061
2026-04-10 19:15:37.238,0,199,200,0.00,-0.4256,0.4218,6.5172,15.2640,0.0000,-0.4394,0.4363,9.2685
2026-04-10 19:15:47.238,0,198,200,0.00,-0.4934,0.4779,10.1238,15.6910,0.0000,-0.4824,0.4707,-1.1569
2026-04-10 19:15:57.238,0,199,200,0.00,-0.3036,0.2941,13.6292,15.5931,0.0000,-0.3004,0.2996,-0.5579
2026-04-10 19:16:07.239,0,200,200,0.00,-0.5626,0.5884,17.0292,15.5593,0.0000,-0.5560,0.5740,2.9559
2026-04-10 19:16:17.239,0,199,200,0.00,-0.3143,0.3194,21.3178,15.9263,0.0000,-0.3110,0.3156,4.9433
2026-04-10 19:16:27.238,0,199,200,0.00,-0.3013,0.3009,24.3118,16.1888,0.0000,-0.2978,0.3022,4.2016
2026-04-10 19:16:37.238,0,199,200,0.00,0.0000,0.0000,26.4317,16.3492,0.0000,-0.0000,0.0000,5.8573
2026-04-10 19:16:47.238,0,199,200,0.00,-0.2854,0.3165,25.5854,17.0386,0.0000,-0.2845,0.3155,-151.0778
2026-04-10 19:16:57.238,0,200,200,0.00,-0.3351,0.3342,21.8164,16.3405,0.0000,-0.3330,0.3315,-177.2474
2026-04-10 19:17:07.239,0,198,200,0.00,-0.2987,0.3021,18.7890,16.3612,0.0000,-0.3007,0.2993,-175.3156
2026-04-10 19:17:17.238,0,200,200,0.00,-0.5483,0.5308,15.2171,16.3976,0.0000,-0.5466,0.5342,-179.6181
2026-04-10 19:17:27.238,0,200,200,0.00,-0.3003,0.2979,11.4029,16.7171,0.0000,-0.3006,0.2994,179.7033
2026-04-10 19:17:37.238,0,199,200,0.00,-0.2824,0.3863,8.3825,16.9181,0.0000,-0.2760,0.3613,-177.4385
2026-04-10 19:17:47.238,0,200,200,0.00,-0.2824,0.3863,6.6423,14.6074,0.0000,-0.0815,0.5185,168.9341
2026-04-10 19:17:57.240,0,175,200,0.00,0.0005,0.0000,7.6477,13.4353,0.0000,-0.0720,0.5280,-164.2316
2026-04-10 19:18:07.238,0,200,200,0.00,-0.4479,0.2515,8.9035,13.1057,0.0000,-0.0720,0.5280,-157.4722
2026-04-10 19:18:17.240,0,199,200,0.00,-0.0733,0.4417,12.5867,11.5897,0.0000,-0.1055,0.4945,-128.3705
