Timestamp,IMU_Packages_per_sec,Odom_Packages_per_sec,Send_Packages_per_sec,Yaw_Angle,Left_Velocity_mps,Right_Velocity_mps,x,y,quaternion_yaw,Left_Velocity_LOS,Right_Velocity_LOS,theta_yaw
2026-04-29 19:26:03.511,0,8,9,0.00,0.2305,0.2728,0.0109,0.0026,0.0000,0.0000,0.0000,0.0000
2026-04-29 19:26:04.011,0,10,10,0.00,0.2305,0.2728,0.0189,0.0093,0.0000,0.0000,0.0000,0.0000
2026-04-29 19:26:04.511,0,10,10,0.00,0.2305,0.2728,0.0234,0.0188,0.0000,0.0000,0.0000,0.0000
2026-04-29 19:26:05.011,0,10,10,0.00,0.2305,0.2728,0.0233,0.0293,0.0000,0.0000,0.0000,0.0000
2026-04-29 19:26:05.511,0,10,10,0.00,0.2305,0.2728,0.0188,0.0387,0.0000,0.0000,0.0000,0.0000
2026-04-29 19:26:06.011,0,10,10,0.00,0.2305,0.2728,0.0107,0.0454,0.0000,0.0000,0.0000,0.0000
2026-04-29 19:26:06.512,0,10,10,0.00,0.2305,0.2728,0.0005,0.0479,0.0000,0.0000,0.0000,0.0000
2026-04-29 19:26:07.011,0,10,10,0.00,0.2305,0.2728,-0.0098,0.0458,0.0000,0.0000,0.0000,0.0000
2026-04-29 19:26:07.511,0,10,10,0.00,0.2305,0.2728,-0.0182,0.0395,0.0000,0.0000,0.0000,0.0000
2026-04-29 19:26:08.012,0,9,10,0.00,0.2305,0.2728,-0.0231,0.0303,0.0000,0.0000,0.0000,0.0000
2026-04-29 19:26:08.511,0,10,10,0.00,0.2305,0.2728,-0.0236,0.0197,0.0000,0.0000,0.0000,0.0000
2026-04-29 19:26:09.011,0,10,10,0.00,0.2305,0.2728,-0.0195,0.0101,0.0000,0.0000,0.0000,0.0000
2026-04-29 19:26:09.511,0,10,10,0.00,0.2305,0.2728,-0.0118,0.0031,0.0000,0.0000,0.0000,0.0000
2026-04-29 19:26:10.011,0,10,10,0.00,0.2305,0.2728,-0.0017,0.0001,0.0000,0.0000,0.0000,0.0000
2026-04-29 19:26:10.512,0,10,10,0.00,0.2305,0.2728,0.0086,0.0016,0.0000,0.0000,0.0000,0.0000
2026-04-29 19:26:11.011,0,10,10,0.00,0.2305,0.2728,0.0173,0.0074,0.0000,0.0000,0.0000,0.0000
2026-04-29 19:26:11.511,0,10,10,0.00,0.2305,0.2728,0.0227,0.0164,0.0000,0.0000,0.0000,0.0000
2026-04-29 19:26:12.014,0,10,10,0.00,0.2305,0.2728,0.0238,0.0269,0.0000,0.0000,0.0000,0.0000
2026-04-29 19:26:12.511,0,10,10,0.00,0.2305,0.2728,0.0202,0.0368,0.0000,0.0000,0.0000,0.0000
2026-04-29 19:26:13.012,0,10,10,0.00,0.2305,0.2728,0.0128,0.0442,0.0000,0.0000,0.0000,0.0000
2026-04-29 19:26:13.511,0,10,10,0.00,0.2305,0.2728,0.0029,0.0477,0.0000,0.0000,0.0000,0.0000
2026-04-29 19:26:14.011,0,10,10,0.00,0.2305,0.2728,-0.0075,0.0467,0.0000,0.0000,0.0000,0.0000
2026-04-29 19:26:14.512,0,10,10,0.00,0.2305,0.2728,-0.0165,0.0413,0.0000,0.0000,0.0000,-0.0183
2026-04-29 19:26:15.012,0,10,10,0.00,0.2305,0.2728,-0.0223,0.0326,0.0000,0.0000,0.0000,-0.0183
2026-04-29 19:26:15.512,0,10,10,0.00,0.2305,0.2728,-0.0239,0.0222,0.0000,0.0000,0.0000,-0.0417
2026-04-29 19:26:16.011,0,10,10,0.00,0.2305,0.2728,-0.0209,0.0122,0.0000,0.0000,0.0000,-0.0417
2026-04-29 19:26:16.512,0,10,10,0.00,0.2305,0.2728,-0.0138,0.0044,0.0000,-0.0000,0.0000,-0.0847
2026-04-29 19:26:17.011,0,10,10,0.00,0.2305,0.2728,-0.0042,0.0004,0.0000,-0.0000,0.0000,-0.0847
2026-04-29 19:26:17.511,0,10,10,0.00,0.2305,0.2728,0.0063,0.0008,0.0000,-0.0000,0.0000,0.0062
2026-04-29 19:26:18.011,0,10,10,0.00,0.2305,0.2728,0.0156,0.0058,0.0000,-0.0000,0.0000,0.0062
2026-04-29 19:26:18.511,0,10,10,0.00,0.2305,0.2728,0.0219,0.0142,0.0000,-0.0000,0.0000,-0.0189
2026-04-29 19:26:19.011,0,10,10,0.00,0.2305,0.2728,0.0239,0.0244,0.0000,-0.0000,0.0000,-0.0189
2026-04-29 19:26:19.511,0,10,10,0.00,0.2305,0.2728,0.0214,0.0346,0.0000,-0.0000,0.0000,0.0495
2026-04-29 19:26:20.011,0,10,10,0.00,0.2305,0.2728,0.0148,0.0428,0.0000,-0.0000,0.0000,0.0495
2026-04-29 19:26:20.511,0,10,10,0.00,0.2305,0.2728,0.0054,0.0473,0.0000,-0.0000,0.0000,-0.0030
2026-04-29 19:26:21.011,0,10,10,0.00,0.2305,0.2728,-0.0051,0.0473,0.0000,-0.0000,0.0000,-0.0030
2026-04-29 19:26:21.511,0,10,10,0.00,0.2305,0.2728,-0.0146,0.0429,0.0000,-0.0000,0.0000,0.0328
2026-04-29 19:26:22.011,0,10,10,0.00,0.2305,0.2728,-0.0213,0.0348,0.0000,-0.0000,0.0000,0.0328
2026-04-29 19:26:22.511,0,10,10,0.00,0.2305,0.2728,-0.0239,0.0247,0.0000,-0.0000,0.0000,0.0696
2026-04-29 19:26:23.011,0,10,10,0.00,0.2305,0.2728,-0.0219,0.0144,0.0000,-0.0000,0.0000,0.0696
2026-04-29 19:26:23.511,0,10,10,0.00,0.2305,0.2728,-0.0158,0.0059,0.0000,-0.0000,0.0000,0.0385
2026-04-29 19:26:24.011,0,10,10,0.00,0.2305,0.2728,-0.0065,0.0009,0.0000,-0.0000,0.0000,0.0385
2026-04-29 19:26:24.512,0,10,10,0.00,0.2305,0.2728,0.0039,0.0003,0.0000,-0.0000,0.0000,-0.0149
2026-04-29 19:26:25.011,0,10,10,0.00,0.2305,0.2728,0.0136,0.0043,0.0000,-0.0000,0.0000,-0.0149
2026-04-29 19:26:25.511,0,10,10,0.00,0.2305,0.2728,0.0207,0.0120,0.0000,-0.0000,0.0000,0.0208
2026-04-29 19:26:26.011,0,10,10,0.00,0.2305,0.2728,0.0239,0.0220,0.0000,-0.0000,0.0000,0.0208
