Timestamp,IMU_Packages_per_sec,Odom_Packages_per_sec,Send_Packages_per_sec (mode 1 normal)
2025-11-14 16:31:55.301,199,198,199
2025-11-14 16:32:05.302,200,200,200
2025-11-14 16:32:15.300,200,200,200
2025-11-14 16:32:25.300,199,200,200
2025-11-14 16:32:35.301,183,200,200
2025-11-14 16:32:45.300,200,200,200
2025-11-14 16:32:55.300,200,200,200
2025-11-14 16:33:05.300,200,200,200
2025-11-14 16:33:15.301,200,200,200
2025-11-14 16:33:25.300,200,200,200
2025-11-14 16:33:35.300,200,200,200
2025-11-14 16:33:45.301,200,200,200
2025-11-14 16:33:55.300,200,200,200
2025-11-14 16:34:05.300,150,200,200
2025-11-14 16:34:15.301,183,200,200
2025-11-14 16:34:25.300,200,200,200
2025-11-14 16:34:35.301,200,200,200
2025-11-14 16:34:45.300,200,200,200
2025-11-14 16:34:55.300,200,200,200
2025-11-14 16:35:05.301,200,200,200
2025-11-14 16:35:15.300,200,200,200
2025-11-14 16:35:25.300,200,200,200
2025-11-14 16:35:35.300,200,200,200
2025-11-14 16:35:45.301,200,200,200
2025-11-14 16:35:55.301,200,200,200
2025-11-14 16:36:05.300,200,200,200
2025-11-14 16:36:15.300,200,200,200
2025-11-14 16:36:25.300,135,200,200
2025-11-14 16:36:35.300,198,200,200
2025-11-14 16:36:45.300,200,200,200
2025-11-14 16:36:55.300,200,200,200
2025-11-14 16:37:05.300,66,200,200
2025-11-14 16:37:15.300,199,200,200
2025-11-14 16:37:25.300,183,200,200
2025-11-14 16:37:35.300,200,200,200
2025-11-14 16:37:45.300,133,200,200
2025-11-14 16:37:55.300,200,200,200
2025-11-14 16:38:05.300,200,200,200
2025-11-14 16:38:15.300,200,200,200
2025-11-14 16:38:25.300,200,200,200
2025-11-14 16:38:35.300,200,200,200
2025-11-14 16:38:45.300,200,200,200
2025-11-14 16:38:55.301,200,200,200
2025-11-14 16:39:05.301,200,200,200
2025-11-14 16:39:15.301,200,200,200
2025-11-14 16:39:25.300,145,200,200
2025-11-14 16:39:35.300,188,200,200
2025-11-14 16:39:45.301,200,200,200
2025-11-14 16:39:55.300,200,200,200
2025-11-14 16:40:05.300,200,200,200
2025-11-14 16:40:15.300,133,200,200
2025-11-14 16:40:25.302,200,200,200
2025-11-14 16:40:35.300,200,200,200
2025-11-14 16:40:45.301,200,200,200
2025-11-14 16:40:55.300,200,200,200
2025-11-14 16:41:05.300,200,200,200
2025-11-14 16:41:15.300,200,200,200
2025-11-14 16:41:25.300,200,200,200
2025-11-14 16:41:35.301,197,200,200
2025-11-14 16:41:45.302,136,200,200
2025-11-14 16:41:55.301,200,200,200
2025-11-14 16:42:05.300,200,200,200
2025-11-14 16:42:15.300,182,200,200
2025-11-14 16:42:25.301,200,200,200
2025-11-14 16:42:35.301,200,200,200
2025-11-14 16:42:45.300,199,175,200
2025-11-14 16:42:55.300,200,200,200
2025-11-14 16:43:05.301,200,200,200
2025-11-14 16:43:15.300,197,200,200
2025-11-14 16:43:25.300,199,200,200
2025-11-14 16:43:35.302,192,200,200
2025-11-14 16:43:45.303,141,200,200
2025-11-14 16:43:55.300,200,200,200
2025-11-14 16:44:05.302,199,200,200
2025-11-14 16:44:15.301,200,200,200
2025-11-14 16:44:25.301,200,200,200
2025-11-14 16:44:35.300,200,200,200
2025-11-14 16:44:45.301,200,200,200
2025-11-14 16:44:55.300,186,200,200
2025-11-14 16:45:05.300,195,200,200
2025-11-14 16:45:15.300,199,200,200
2025-11-14 16:45:25.301,199,200,200
2025-11-14 16:45:35.301,200,200,200
2025-11-14 16:45:45.300,174,200,200
2025-11-14 16:45:55.300,158,200,200
2025-11-14 16:46:05.303,200,200,200
2025-11-14 16:46:15.300,200,200,200
2025-11-14 16:46:25.300,200,200,200
2025-11-14 16:46:35.300,133,200,200
2025-11-14 16:46:45.300,200,200,200
