Timestamp,IMU_Packages_per_sec,Odom_Packages_per_sec,Send_Packages_per_sec (mode 2 velocity 0)
2025-11-14 17:03:01.192,199,188,199
2025-11-14 17:03:11.191,197,191,200
2025-11-14 17:03:21.192,197,190,200
2025-11-14 17:03:31.191,199,190,200
2025-11-14 17:03:41.191,200,191,200
2025-11-14 17:03:51.191,198,190,200
2025-11-14 17:04:01.191,198,191,200
2025-11-14 17:04:11.191,199,190,200
2025-11-14 17:04:21.190,199,190,200
2025-11-14 17:04:31.191,198,191,200
2025-11-14 17:04:41.192,200,190,200
2025-11-14 17:04:51.191,198,191,200
2025-11-14 17:05:01.193,198,190,200
2025-11-14 17:05:11.191,199,190,200
2025-11-14 17:05:21.191,199,191,200
2025-11-14 17:05:31.191,199,190,200
2025-11-14 17:05:41.192,200,190,200
2025-11-14 17:05:51.192,197,191,200
2025-11-14 17:06:01.191,200,190,200
2025-11-14 17:06:11.194,199,191,200
2025-11-14 17:06:21.191,199,190,200
2025-11-14 17:06:31.191,200,190,200
2025-11-14 17:06:41.192,199,191,200
2025-11-14 17:06:51.191,198,190,200
2025-11-14 17:07:01.192,198,191,200
2025-11-14 17:07:11.191,200,190,200
2025-11-14 17:07:21.193,195,190,200
2025-11-14 17:07:31.191,198,191,200
2025-11-14 17:07:41.191,200,190,200
2025-11-14 17:07:51.193,200,190,200
2025-11-14 17:08:01.194,199,191,200
2025-11-14 17:08:11.192,197,190,200
2025-11-14 17:08:21.191,198,191,200
2025-11-14 17:08:31.191,200,190,200
2025-11-14 17:08:41.191,200,190,200
2025-11-14 17:08:51.191,199,191,200
2025-11-14 17:09:01.191,197,190,200
2025-11-14 17:09:11.193,198,190,200
2025-11-14 17:09:21.191,200,191,200
2025-11-14 17:09:31.191,199,190,200
2025-11-14 17:09:41.192,199,190,200
2025-11-14 17:09:51.194,200,190,200
2025-11-14 17:10:01.191,198,190,200
2025-11-14 17:10:11.190,200,191,200
2025-11-14 17:10:21.190,200,190,200
2025-11-14 17:10:31.190,199,190,200
2025-11-14 17:10:41.191,199,191,200
2025-11-14 17:10:51.191,199,190,200
2025-11-14 17:11:01.193,198,190,200
2025-11-14 17:11:11.190,200,191,200
2025-11-14 17:11:21.193,200,190,200
2025-11-14 17:11:31.191,198,191,200
2025-11-14 17:11:41.191,200,190,200
2025-11-14 17:11:51.191,196,190,200
2025-11-14 17:12:01.191,134,191,200
2025-11-14 17:12:11.192,199,190,200
2025-11-14 17:12:21.192,199,190,200
2025-11-14 17:12:31.192,198,191,200
2025-11-14 17:12:41.191,200,190,200
2025-11-14 17:12:51.194,200,191,200
2025-11-14 17:13:01.193,200,190,200
2025-11-14 17:13:11.191,199,190,200
2025-11-14 17:13:21.192,198,191,200
2025-11-14 17:13:31.191,200,190,200
2025-11-14 17:13:41.191,199,190,200
2025-11-14 17:13:51.191,199,191,200
2025-11-14 17:14:01.191,200,190,200
2025-11-14 17:14:11.191,200,191,200
2025-11-14 17:14:21.191,200,190,200
2025-11-14 17:14:31.191,199,190,200
2025-11-14 17:14:41.191,199,191,200
2025-11-14 17:14:51.191,200,190,200
2025-11-14 17:15:01.191,199,191,200
2025-11-14 17:15:11.191,194,190,200
2025-11-14 17:15:21.191,197,190,200
2025-11-14 17:15:31.191,200,191,200
2025-11-14 17:15:41.192,199,190,200
2025-11-14 17:15:51.191,200,190,200
2025-11-14 17:16:01.193,197,191,200
2025-11-14 17:16:11.193,197,190,200
2025-11-14 17:16:21.193,199,191,200
2025-11-14 17:16:31.191,198,190,200
2025-11-14 17:16:41.191,200,190,200
2025-11-14 17:16:51.191,199,191,200
2025-11-14 17:17:01.192,198,190,200
2025-11-14 17:17:11.191,199,191,200
2025-11-14 17:17:21.191,199,190,200
2025-11-14 17:17:31.191,200,190,200
2025-11-14 17:17:41.192,200,191,200
2025-11-14 17:17:51.191,200,190,200
2025-11-14 17:18:01.191,199,190,200
2025-11-14 17:18:11.191,199,191,200
2025-11-14 17:18:21.192,200,190,200
2025-11-14 17:18:31.191,198,190,200
2025-11-14 17:18:41.191,200,190,200
2025-11-14 17:18:51.193,199,190,200
2025-11-14 17:19:01.191,199,191,200
2025-11-14 17:19:11.191,199,190,200
2025-11-14 17:19:21.193,200,191,200
2025-11-14 17:19:31.191,199,190,200
2025-11-14 17:19:41.191,199,190,200
2025-11-14 17:19:51.191,200,191,200
2025-11-14 17:20:01.191,199,190,200
2025-11-14 17:20:11.191,198,190,200
2025-11-14 17:20:21.191,200,191,200
2025-11-14 17:20:31.191,200,190,200
2025-11-14 17:20:41.191,199,190,200
2025-11-14 17:20:51.193,199,190,200
2025-11-14 17:21:01.191,200,190,200
2025-11-14 17:21:11.191,200,191,200
2025-11-14 17:21:21.191,200,190,200
2025-11-14 17:21:31.191,199,190,200
2025-11-14 17:21:41.190,198,191,200
2025-11-14 17:21:51.191,199,190,200
2025-11-14 17:22:01.192,199,191,200
2025-11-14 17:22:11.192,198,190,200
2025-11-14 17:22:21.190,200,190,200
2025-11-14 17:22:31.190,199,191,200
2025-11-14 17:22:41.192,199,190,200
2025-11-14 17:22:51.190,200,190,200
2025-11-14 17:23:01.191,200,191,200
2025-11-14 17:23:11.191,197,190,200
2025-11-14 17:23:21.191,198,191,200
2025-11-14 17:23:31.191,200,190,200
2025-11-14 17:23:41.191,198,190,200
2025-11-14 17:23:51.191,197,191,200
2025-11-14 17:24:01.191,199,190,200
2025-11-14 17:24:11.191,198,191,200
2025-11-14 17:24:21.191,200,190,200
2025-11-14 17:24:31.193,199,190,200
2025-11-14 17:24:41.191,199,191,200
2025-11-14 17:24:51.193,200,190,200
2025-11-14 17:25:01.192,199,190,200
2025-11-14 17:25:11.192,198,191,200
2025-11-14 17:25:21.191,199,190,200
2025-11-14 17:25:31.191,199,191,200
2025-11-14 17:25:41.191,197,190,200
2025-11-14 17:25:51.191,200,190,200
2025-11-14 17:26:01.192,198,191,200
2025-11-14 17:26:11.191,198,190,200
2025-11-14 17:26:21.192,197,190,200
