Timestamp,IMU_Packages_per_sec,Odom_Packages_per_sec,Send_Packages_per_sec (mode 2 auto)
2025-11-15 19:00:46.087,160,199,199
2025-11-15 19:00:56.085,171,200,200
2025-11-15 19:01:06.086,199,194,200
2025-11-15 19:01:16.086,197,182,200
2025-11-15 19:01:26.086,200,181,200
2025-11-15 19:01:36.086,199,182,200
2025-11-15 19:01:46.086,198,181,200
2025-11-15 19:01:56.086,197,182,200
2025-11-15 19:02:06.086,199,181,200
2025-11-15 19:02:16.086,200,182,200
2025-11-15 19:02:26.087,199,181,200
2025-11-15 19:02:36.086,200,182,200
2025-11-15 19:02:46.086,198,181,200
2025-11-15 19:02:56.086,199,182,200
2025-11-15 19:03:06.086,200,181,200
2025-11-15 19:03:16.086,200,182,200
2025-11-15 19:03:26.087,199,181,200
2025-11-15 19:03:36.086,199,182,200
2025-11-15 19:03:46.086,199,181,200
2025-11-15 19:03:56.086,200,182,200
2025-11-15 19:04:06.086,199,181,200
2025-11-15 19:04:16.086,198,182,200
2025-11-15 19:04:26.088,199,181,200
2025-11-15 19:04:36.086,199,182,200
2025-11-15 19:04:46.085,198,181,200
2025-11-15 19:04:56.085,134,182,200
