Timestamp,IMU_Packages_per_sec,Odom_Packages_per_sec,Send_Packages_per_sec
2025-11-15 19:26:27.555,199,199,199
2025-11-15 19:26:37.554,198,200,200
2025-11-15 19:26:47.554,200,200,200
2025-11-15 19:26:57.555,199,200,200
2025-11-15 19:27:07.555,200,200,200
2025-11-15 19:27:17.555,150,198,200
2025-11-15 19:27:27.555,183,199,200
2025-11-15 19:27:37.555,199,200,200
2025-11-15 19:27:47.554,200,199,200
2025-11-15 19:27:57.556,199,199,200
2025-11-15 19:28:07.554,199,199,200
2025-11-15 19:28:17.554,199,200,200
2025-11-15 19:28:27.554,198,200,200
2025-11-15 19:28:37.554,200,200,200
2025-11-15 19:28:47.554,198,200,200
2025-11-15 19:28:57.554,199,199,200
2025-11-15 19:29:07.554,199,199,200
2025-11-15 19:29:17.555,199,199,200
2025-11-15 19:29:27.554,199,199,200
2025-11-15 19:29:37.554,198,199,200
