Timestamp,IMU_Packages_per_sec,Odom_Packages_per_sec,Send_Packages_per_sec,Yaw_Angle,Left_Velocity_mps,Right_Velocity_mps
2025-11-22 12:08:21.400,196,199,199,134.43,0.0052,-0.0026
2025-11-22 12:08:31.399,199,200,200,134.43,0.0000,-0.0026
2025-11-22 12:08:41.403,200,200,200,134.56,-0.0026,0.0000
2025-11-22 12:08:51.399,199,200,200,134.56,0.0000,-0.0052
2025-11-22 12:09:01.400,200,200,200,134.56,0.0026,0.0000
2025-11-22 12:09:11.400,198,200,200,134.56,-0.0026,-0.0026
2025-11-22 12:09:21.399,197,199,200,127.68,-6.9062,6.7884
2025-11-22 12:09:31.399,198,200,200,130.25,-5.9873,6.0161
2025-11-22 12:09:41.400,196,200,200,129.25,-6.1732,6.0711
2025-11-22 12:09:51.399,197,200,200,132.75,-6.5371,3.3772
2025-11-22 12:10:01.399,199,200,200,-163.13,-5.5501,6.2308
2025-11-22 12:10:11.399,194,200,200,124.75,-4.7542,4.9951
2025-11-22 12:10:21.400,197,199,200,132.06,-6.0737,6.0921
2025-11-22 12:10:31.400,198,200,200,119.31,-7.0319,7.3827
2025-11-22 12:10:41.400,198,200,200,121.25,-5.9036,5.7857
2025-11-22 12:10:51.399,195,200,200,36.50,-4.3328,5.6392
2025-11-22 12:11:01.400,198,200,200,38.93,-6.1104,6.0109
2025-11-22 12:11:11.399,198,200,200,-61.75,-4.6443,5.2438
2025-11-22 12:11:21.400,198,200,200,-145.94,-6.0947,5.9952
2025-11-22 12:11:31.400,197,200,200,-138.88,-6.0187,5.8669
2025-11-22 12:11:41.400,199,200,200,-42.32,-5.5004,5.1287
2025-11-22 12:11:51.400,200,200,200,-48.13,-6.5607,6.5424
2025-11-22 12:12:01.400,200,200,200,-46.19,-5.9455,6.0083
2025-11-22 12:12:11.400,198,200,200,9.31,-5.9926,3.9374
2025-11-22 12:12:21.400,200,200,200,11.87,-4.9454,5.9795
2025-11-22 12:12:31.400,198,200,200,-54.82,-6.4612,6.1915
2025-11-22 12:12:41.399,198,200,200,-49.44,-5.9350,6.2125
2025-11-22 12:12:51.401,197,200,200,-49.88,-6.0868,5.8800
2025-11-22 12:13:01.399,198,200,200,-52.50,0.0026,-0.0026
