Timestamp,IMU_Packages_per_sec,Odom_Packages_per_sec,Send_Packages_per_sec,Yaw_Angle,Left_Velocity_mps,Right_Velocity_mps
2025-11-22 12:14:59.897,199,199,199,138.12,0.0052,0.0000
2025-11-22 12:15:09.897,199,200,200,138.06,0.0000,-0.0026
2025-11-22 12:15:19.896,196,198,200,134.75,-7.1890,7.9194
2025-11-22 12:15:29.897,196,200,200,133.68,-6.0894,6.0109
2025-11-22 12:15:39.897,198,199,200,133.62,-6.1156,5.8381
2025-11-22 12:15:49.897,197,200,200,133.50,-6.0135,6.0423
2025-11-22 12:15:59.897,197,200,200,-156.44,-5.8015,6.2099
2025-11-22 12:16:09.897,199,200,200,137.37,-4.5317,5.3643
2025-11-22 12:16:19.898,200,200,200,134.87,-6.1549,5.7491
2025-11-22 12:16:29.896,196,200,200,129.06,-3.9584,5.9926
2025-11-22 12:16:39.897,199,200,200,123.00,-6.0292,6.0397
2025-11-22 12:16:49.897,199,200,200,55.50,-3.8432,5.9926
2025-11-22 12:16:59.896,200,200,200,44.06,-5.8041,5.9952
2025-11-22 12:17:09.896,199,200,200,-47.88,-4.0081,5.8459
2025-11-22 12:17:19.896,194,200,200,-146.94,-5.4009,5.8564
2025-11-22 12:17:29.897,197,200,200,-135.63,-5.8905,6.1994
2025-11-22 12:17:39.897,199,200,200,-46.13,-5.3957,4.6757
2025-11-22 12:17:49.896,199,200,200,-46.57,-7.5581,7.2989
2025-11-22 12:17:59.897,198,200,200,-43.44,-5.9245,6.1575
2025-11-22 12:18:09.896,196,200,200,-15.25,-6.8355,3.1232
2025-11-22 12:18:19.897,198,200,200,16.18,-5.7256,6.1261
2025-11-22 12:18:29.896,200,200,200,-57.75,-6.7780,6.7989
2025-11-22 12:18:39.896,200,200,200,-48.13,-5.8093,6.1025
2025-11-22 12:18:49.897,195,200,200,-46.25,-5.9873,5.9795
2025-11-22 12:18:59.896,200,200,200,-41.38,-5.3721,5.6208
2025-11-22 12:19:09.896,196,200,200,-41.94,-0.0026,0.0000
2025-11-22 12:19:19.896,199,200,200,-41.94,0.0000,0.0026
