Timestamp,IMU_Packages_per_sec,Odom_Packages_per_sec,Send_Packages_per_sec,Yaw_Angle,Left_Velocity_mps,Right_Velocity_mps
2025-11-22 12:24:25.442,198,198,199,134.62,0.0000,0.0000
2025-11-22 12:24:35.442,198,200,200,134.62,0.0026,0.0000
2025-11-22 12:24:45.441,199,200,200,134.62,0.0000,0.0052
2025-11-22 12:24:55.441,199,200,200,134.37,0.0026,0.0026
2025-11-22 12:25:05.442,195,199,200,129.81,-6.2413,5.8852
2025-11-22 12:25:15.441,199,199,200,132.25,-5.9480,6.0344
2025-11-22 12:25:25.442,198,200,200,133.37,-5.8643,6.0868
2025-11-22 12:25:35.442,199,200,200,-171.94,-5.4847,3.7437
2025-11-22 12:25:45.444,200,199,200,-164.50,-6.0476,5.8748
2025-11-22 12:25:55.443,196,199,200,131.56,-5.9821,5.9036
2025-11-22 12:26:05.441,200,199,200,138.18,-5.8302,6.0921
2025-11-22 12:26:15.441,198,199,200,127.06,-5.9376,6.1915
2025-11-22 12:26:25.442,196,200,200,128.81,-6.1549,6.0292
2025-11-22 12:26:35.443,198,200,200,41.18,-5.5972,6.5162
2025-11-22 12:26:45.442,199,199,200,49.25,-2.2881,7.1838
2025-11-22 12:26:55.442,198,199,200,-117.50,-3.4662,6.2858
2025-11-22 12:27:05.443,199,199,200,-128.38,-6.1025,5.9637
2025-11-22 12:27:15.441,198,199,200,-85.19,-6.8068,3.4348
2025-11-22 12:27:25.442,199,199,200,-40.19,-5.6077,6.3277
2025-11-22 12:27:35.443,189,200,200,-38.13,0.0026,-0.0183
2025-11-22 12:27:45.441,196,200,200,-37.44,-6.3407,6.0921
2025-11-22 12:27:55.442,197,200,200,-20.75,-6.8225,6.7649
