Timestamp,IMU_Packages_per_sec,Odom_Packages_per_sec,Send_Packages_per_sec,Yaw_Angle,Left_Velocity_mps,Right_Velocity_mps,x,y,quaternion_yaw,Left_Velocity_LOS,Right_Velocity_LOS,theta_yaw
2026-04-21 20:30:47.434,0,199,199,0.00,0.0001,-0.0001,0.0000,0.0000,0.0000,-0.0000,0.0000,0.9824
2026-04-21 20:30:57.434,0,200,200,0.00,-0.0003,0.0000,0.0000,0.0000,0.0000,-0.0000,0.0000,0.6000
2026-04-21 20:31:07.435,0,200,200,0.00,0.0000,0.0004,0.5168,0.0047,0.0000,-0.0000,0.0000,3.8848
2026-04-21 20:31:17.433,0,199,200,0.00,-0.0351,0.0031,-0.2137,-0.0423,0.0000,-0.0000,0.0000,2.0043
2026-04-21 20:31:27.433,0,199,200,0.00,0.0001,0.0005,-0.0764,-0.0483,0.0000,-0.0000,0.0000,1.6926
2026-04-21 20:31:37.434,0,183,200,0.00,-0.0978,0.5068,1.6303,0.3354,0.0000,-0.1109,0.4891,47.6546
2026-04-21 20:31:47.435,0,199,200,0.00,-0.4481,0.4805,1.3533,4.1947,0.0000,-0.3950,0.5453,95.7779
2026-04-21 20:31:57.433,0,196,200,0.00,-0.4512,0.4638,-1.5113,6.2737,0.0000,-0.4305,0.5294,174.1881
2026-04-21 20:32:07.433,0,199,200,0.00,0.0000,0.0003,-3.8441,6.5462,0.0000,-0.0000,0.0000,-178.4829
2026-04-21 20:32:17.434,0,183,200,0.00,-0.0808,0.5398,-4.2568,6.4897,0.0000,-0.0769,0.5231,-145.5871
2026-04-21 20:32:27.433,0,198,200,0.00,-0.4792,0.4822,-1.2472,4.4408,0.0000,-0.4713,0.4615,-0.5549
2026-04-21 20:32:37.433,0,197,200,0.00,-0.4629,0.3029,1.4543,3.2707,0.0000,-0.4921,0.4101,-78.9819
2026-04-21 20:32:47.434,0,199,200,0.00,-0.3792,0.2123,0.9504,-0.4282,0.0000,-0.3796,0.2204,-152.7374
2026-04-21 20:32:57.433,0,144,200,0.00,0.0000,0.0000,-0.2063,-0.5590,0.0000,-0.0000,0.0000,-127.3008
2026-04-21 20:33:07.433,0,98,200,0.00,0.0001,0.0000,-0.2068,-0.5591,0.0000,-0.0000,0.0000,-14.3940
2026-04-21 20:33:17.434,0,200,200,0.00,0.0000,-0.0001,-0.2068,-0.5591,0.0000,-0.0000,0.0000,-14.3940
