Timestamp,Yaw_Angle(degrees)
2025-10-25 09:53:15,2.81
2025-10-25 09:53:15,2.81
2025-10-25 09:53:15,2.81
2025-10-25 09:53:15,2.81
2025-10-25 09:53:15,2.81
2025-10-25 09:53:15,2.81
2025-10-25 09:53:16,2.81
2025-10-25 09:53:16,2.81
2025-10-25 09:53:16,2.81
2025-10-25 09:53:16,2.81
2025-10-25 09:53:16,2.81
2025-10-25 09:53:16,2.81
2025-10-25 09:53:16,2.81
2025-10-25 09:53:16,2.81
2025-10-25 09:53:16,2.81
2025-10-25 09:53:16,2.81
2025-10-25 09:53:16,2.81
2025-10-25 09:53:16,2.81
2025-10-25 09:53:16,2.81
2025-10-25 09:53:16,2.81
2025-10-25 09:53:16,2.81
2025-10-25 09:53:16,2.81
2025-10-25 09:53:16,2.81
2025-10-25 09:53:16,2.81
2025-10-25 09:53:16,2.81
2025-10-25 09:53:16,2.81
2025-10-25 09:53:16,2.81
2025-10-25 09:53:16,2.81
2025-10-25 09:53:16,2.81
2025-10-25 09:53:16,2.81
2025-10-25 09:53:16,2.81
2025-10-25 09:53:16,2.81
2025-10-25 09:53:16,2.81
2025-10-25 09:53:16,2.81
2025-10-25 09:53:16,2.81
2025-10-25 09:53:16,2.81
2025-10-25 09:53:16,2.81
2025-10-25 09:53:16,2.81
2025-10-25 09:53:16,2.81
2025-10-25 09:53:16,2.81
2025-10-25 09:53:17,2.81
2025-10-25 09:53:17,2.81
2025-10-25 09:53:17,2.81
2025-10-25 09:53:17,2.81
2025-10-25 09:53:17,2.81
2025-10-25 09:53:17,2.81
2025-10-25 09:53:17,2.81
2025-10-25 09:53:17,2.81
2025-10-25 09:53:17,2.87
2025-10-25 09:53:17,2.87
2025-10-25 09:53:17,2.87
2025-10-25 09:53:17,2.87
2025-10-25 09:53:17,2.87
2025-10-25 09:53:17,2.87
2025-10-25 09:53:17,2.87
2025-10-25 09:53:17,2.87
2025-10-25 09:53:17,2.87
2025-10-25 09:53:17,2.87
2025-10-25 09:53:17,2.93
2025-10-25 09:53:17,2.93
2025-10-25 09:53:17,3
2025-10-25 09:53:17,3
2025-10-25 09:53:17,3
2025-10-25 09:53:17,3.06
2025-10-25 09:53:17,3.12
2025-10-25 09:53:17,3.18
2025-10-25 09:53:17,3.25
2025-10-25 09:53:17,3.31
2025-10-25 09:53:17,3.43
2025-10-25 09:53:17,3.5
2025-10-25 09:53:17,3.62
2025-10-25 09:53:17,3.81
2025-10-25 09:53:17,3.87
2025-10-25 09:53:17,4
2025-10-25 09:53:18,4.12
2025-10-25 09:53:18,4.31
2025-10-25 09:53:18,4.43
2025-10-25 09:53:18,4.62
2025-10-25 09:53:18,4.75
2025-10-25 09:53:18,4.93
2025-10-25 09:53:18,5
2025-10-25 09:53:18,5.18
2025-10-25 09:53:18,5.31
2025-10-25 09:53:18,5.5
2025-10-25 09:53:18,5.62
2025-10-25 09:53:18,5.75
2025-10-25 09:53:18,5.87
2025-10-25 09:53:18,6.06
2025-10-25 09:53:18,6.18
2025-10-25 09:53:18,6.31
2025-10-25 09:53:18,6.43
2025-10-25 09:53:18,6.56
2025-10-25 09:53:18,6.68
2025-10-25 09:53:18,6.81
2025-10-25 09:53:18,6.93
2025-10-25 09:53:18,7.06
2025-10-25 09:53:18,7.18
2025-10-25 09:53:18,7.31
2025-10-25 09:53:18,7.43
2025-10-25 09:53:18,7.56
2025-10-25 09:53:18,7.62
2025-10-25 09:53:18,7.75
2025-10-25 09:53:18,7.87
2025-10-25 09:53:18,7.93
2025-10-25 09:53:18,8.06
2025-10-25 09:53:18,8.12
2025-10-25 09:53:18,8.18
2025-10-25 09:53:18,8.31
2025-10-25 09:53:19,8.37
2025-10-25 09:53:19,8.5
2025-10-25 09:53:19,8.56
2025-10-25 09:53:19,8.68
2025-10-25 09:53:19,8.75
2025-10-25 09:53:19,8.87
2025-10-25 09:53:19,8.93
2025-10-25 09:53:19,9
2025-10-25 09:53:19,9.12
2025-10-25 09:53:19,9.18
2025-10-25 09:53:19,9.25
2025-10-25 09:53:19,9.31
2025-10-25 09:53:19,9.37
2025-10-25 09:53:19,9.43
2025-10-25 09:53:19,9.5
2025-10-25 09:53:19,9.56
2025-10-25 09:53:19,9.62
2025-10-25 09:53:19,9.68
2025-10-25 09:53:19,9.68
